                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60591,                 2.3269,                 1.1783,                0.90779,                0.91881,                 0.9595,                 0.9071,                0.33922,                 0.5722,                0.78496,             0.00011883,             0.00011883,             0.00011883
                      2,                0.53911,                  1.106,                 1.1119,                0.94108,                0.93995,                0.97628,                0.91963,                0.34831,                0.41897,                0.79199,             0.00023312,             0.00023312,             0.00023312
                      3,                0.53324,                0.98059,                 1.1029,                0.95026,                0.94771,                0.97471,                0.91802,                0.36726,                0.39507,                0.81236,              0.0003427,              0.0003427,              0.0003427
                      4,                0.52889,                0.91182,                 1.1004,                0.96867,                0.96785,                0.98174,                0.93041,                0.33214,                0.33832,                0.78058,             0.00033579,             0.00033579,             0.00033579
                      5,                0.49678,                0.82744,                 1.0795,                0.97941,                0.97851,                0.98256,                0.94455,                0.30613,                0.29381,                0.74352,             0.00032873,             0.00032873,             0.00032873
                      6,                0.48481,                0.76868,                 1.0721,                0.97669,                 0.9745,                0.98262,                0.94442,                0.31217,                0.27753,                0.75633,             0.00032166,             0.00032166,             0.00032166
                      7,                0.47349,                0.73108,                 1.0641,                0.97719,                0.97618,                0.98237,                 0.9488,                0.29609,                0.26716,                0.74337,             0.00031459,             0.00031459,             0.00031459
                      8,                0.46274,                0.70699,                 1.0556,                0.98114,                0.97427,                0.98291,                0.95424,                0.28185,                 0.2511,                0.72733,             0.00030752,             0.00030752,             0.00030752
                      9,                 0.4582,                0.67993,                 1.0568,                0.98483,                0.97707,                0.98334,                0.95301,                0.28263,                0.24074,                0.72088,             0.00030045,             0.00030045,             0.00030045
                     10,                0.45012,                0.65424,                 1.0483,                0.97528,                0.98005,                 0.9842,                0.95359,                0.28854,                0.24435,                0.73053,             0.00029338,             0.00029338,             0.00029338
                     11,                0.44475,                0.63719,                  1.045,                0.98956,                0.97971,                0.98257,                 0.9559,                0.27646,                0.22388,                0.71726,             0.00028631,             0.00028631,             0.00028631
                     12,                0.43277,                0.61762,                 1.0359,                0.98471,                0.97916,                0.98474,                0.95987,                0.26856,                0.22966,                0.71303,             0.00027925,             0.00027925,             0.00027925
                     13,                0.42982,                0.60355,                 1.0376,                0.98716,                0.98037,                0.98555,                0.96242,                0.27305,                0.21618,                0.71573,             0.00027218,             0.00027218,             0.00027218
                     14,                0.42679,                0.58415,                 1.0357,                0.98197,                0.97982,                0.98081,                0.95696,                0.26605,                0.22719,                0.70901,             0.00026511,             0.00026511,             0.00026511
                     15,                0.42145,                0.57499,                 1.0322,                0.98976,                  0.981,                0.98504,                0.96467,                 0.2515,                0.19919,                0.69903,             0.00025804,             0.00025804,             0.00025804
                     16,                0.41689,                0.57048,                   1.03,                0.98153,                0.97987,                0.98533,                0.96754,                0.24712,                 0.2011,                0.69103,             0.00025097,             0.00025097,             0.00025097
                     17,                0.41148,                 0.5482,                 1.0236,                 0.9899,                0.98246,                0.98608,                0.96737,                0.25127,                0.19282,                0.69303,              0.0002439,              0.0002439,              0.0002439
                     18,                0.40922,                0.54044,                 1.0263,                0.98582,                0.98081,                0.98661,                0.97093,                0.24485,                0.19414,                0.68754,             0.00023683,             0.00023683,             0.00023683
                     19,                0.40574,                0.53401,                 1.0218,                0.98971,                0.98003,                0.98408,                0.96765,                 0.2463,                0.19683,                0.69141,             0.00022977,             0.00022977,             0.00022977
                     20,                0.40066,                0.51942,                 1.0193,                0.98999,                0.98321,                 0.9871,                0.97076,                0.24402,                0.18696,                0.68712,              0.0002227,              0.0002227,              0.0002227
                     21,                0.39802,                0.51099,                 1.0164,                0.98939,                0.98217,                0.98606,                0.97091,                0.23864,                0.19014,                0.68321,             0.00021563,             0.00021563,             0.00021563
                     22,                0.39506,                0.50728,                 1.0171,                0.99027,                0.98276,                0.98647,                0.97218,                0.23818,                0.18583,                0.68273,             0.00020856,             0.00020856,             0.00020856
                     23,                0.39098,                0.49458,                 1.0143,                0.98931,                0.98415,                 0.9862,                0.96965,                0.24138,                0.17951,                0.68342,             0.00020149,             0.00020149,             0.00020149
                     24,                0.38579,                0.48607,                 1.0098,                0.98974,                0.98237,                0.98683,                0.97182,                 0.2355,                0.17386,                0.67817,             0.00019442,             0.00019442,             0.00019442
                     25,                0.38357,                0.48704,                 1.0102,                 0.9899,                0.98306,                0.98797,                0.97086,                0.24184,                0.17744,                0.68486,             0.00018735,             0.00018735,             0.00018735
                     26,                0.38298,                0.48186,                 1.0102,                0.98884,                0.98299,                 0.9868,                0.97097,                0.24313,                0.18214,                0.68472,             0.00018028,             0.00018028,             0.00018028
                     27,                0.37827,                0.46848,                 1.0058,                0.98957,                 0.9838,                0.98619,                0.97163,                0.23153,                0.16774,                0.67677,             0.00017322,             0.00017322,             0.00017322
                     28,                0.37913,                0.46454,                 1.0063,                0.98825,                0.98402,                0.98791,                0.97338,                0.23662,                0.16299,                0.68104,             0.00016615,             0.00016615,             0.00016615
                     29,                0.37265,                0.44557,                 1.0025,                0.99086,                0.98191,                0.98767,                0.97428,                0.23124,                0.16656,                0.67422,             0.00015908,             0.00015908,             0.00015908
                     30,                0.37095,                 0.4426,                  1.001,                0.98905,                0.98351,                0.98823,                0.97496,                0.22877,                0.16484,                0.67245,             0.00015201,             0.00015201,             0.00015201
                     31,                0.36719,                0.43371,                0.99899,                0.98876,                 0.9835,                0.98725,                0.97371,                0.22527,                0.16563,                0.67225,             0.00014494,             0.00014494,             0.00014494
                     32,                0.36403,                0.43148,                0.99671,                0.98738,                0.98444,                0.98629,                0.97357,                 0.2267,                0.16142,                0.67258,             0.00013787,             0.00013787,             0.00013787
                     33,                0.35775,                0.42674,                0.99336,                0.98882,                0.97824,                0.98673,                0.97355,                0.22956,                0.16689,                0.67036,              0.0001308,              0.0001308,              0.0001308
                     34,                 0.3555,                0.42435,                0.99241,                0.98957,                 0.9829,                 0.9875,                0.97572,                0.22205,                0.15348,                 0.6669,             0.00012374,             0.00012374,             0.00012374
                     35,                0.35457,                0.41015,                0.99244,                 0.9902,                0.98213,                0.98701,                0.97469,                 0.2252,                0.15832,                0.66948,             0.00011667,             0.00011667,             0.00011667
                     36,                0.35277,                0.40525,                0.99029,                0.99065,                0.98135,                0.98788,                0.97646,                0.22324,                0.15738,                0.66945,              0.0001096,              0.0001096,              0.0001096
                     37,                0.34815,                0.40388,                0.99127,                0.99087,                0.98116,                0.98649,                0.97443,                 0.2208,                0.16018,                0.66691,             0.00010253,             0.00010253,             0.00010253
                     38,                0.34273,                0.39466,                0.98656,                0.98897,                0.98339,                0.98532,                0.97391,                0.22053,                0.15648,                0.66573,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     39,                 0.3381,                0.38506,                0.98249,                0.99102,                0.98198,                0.98639,                0.97378,                 0.2205,                0.15504,                0.66514,             8.8393e-05,             8.8393e-05,             8.8393e-05
